Brand,Year,Engine_CC,Mileage_kmpl,Fuel_Type,Transmission,Kilometers_Driven,Price_Lakh_INR
Honda,2007,1703,26.18,Electric,Automatic,85940,2.37
Honda,2023,1554,10.81,CNG,Automatic,65965,24.72
Kia,2005,2370,17.58,Electric,Manual,113485,32.95
Hyundai,2016,1636,21.41,Diesel,Manual,185832,7.49
Ford,2011,1693,22.87,Diesel,Manual,78061,18.96
Toyota,2008,2996,23.31,CNG,Manual,178114,24.84
Toyota,2014,2231,24.04,Petrol,Automatic,63318,9.21
Ford,2017,816,22.33,Diesel,Manual,161622,26.68
Kia,2006,1451,10.07,Petrol,Automatic,42087,30.58
Mahindra,2014,2479,23.3,Electric,Automatic,131861,28.79
Mahindra,2008,1059,23.95,Diesel,Automatic,11953,10.17
Kia,2022,2552,29.86,CNG,Manual,99266,28.44
Mahindra,2009,2427,23.25,CNG,Automatic,108431,15.35
Honda,2023,2847,23.11,Petrol,Automatic,157376,10.43
Toyota,2006,2666,19.33,CNG,Manual,99613,7.13
Kia,2016,1004,27.09,Petrol,Automatic,43739,31.95
Toyota,2021,1976,29.93,Petrol,Automatic,133020,15.8
Ford,2014,1591,25.14,Diesel,Manual,111879,30.5
Maruti,2006,1940,21.48,Diesel,Automatic,29987,6.84
Honda,2010,1905,9.74,CNG,Automatic,123064,27.19
Tata,2012,2657,23.99,Petrol,Automatic,11038,5.19
Honda,2023,1890,23.59,Diesel,Manual,7775,2.09
Kia,2015,2407,25.06,Electric,Automatic,143549,34.83
Tata,2016,2639,10.74,CNG,Manual,76910,3.96
Maruti,2013,1778,22.38,CNG,Manual,72819,16.96
Kia,2006,866,14.51,Electric,Manual,22046,30.93
Hyundai,2012,1483,24.73,Electric,Automatic,156597,28.95
Toyota,2015,2078,13.29,Electric,Automatic,123723,17.28
Maruti,2008,862,23.05,Diesel,Automatic,46181,21.96
Toyota,2014,1613,14.49,Electric,Automatic,136823,22.6
Mahindra,2020,1202,8.2,CNG,Manual,150563,5.18
Hyundai,2012,2802,21.93,Diesel,Automatic,163814,11.04
Hyundai,2008,2152,10.49,Petrol,Automatic,53736,11.58
Maruti,2014,870,22.5,Electric,Manual,198329,14.17
Hyundai,2016,1886,28.36,CNG,Automatic,106458,10.68
Tata,2018,1044,29.32,Electric,Manual,55420,9.93
Hyundai,2020,1192,13.19,Petrol,Manual,58257,13.39
Toyota,2022,1571,25.8,Diesel,Manual,48096,14.2
Toyota,2016,2469,15.78,Petrol,Manual,94764,17.82
Kia,2022,2417,27.81,Diesel,Automatic,167700,7.31
Toyota,2011,2356,25.32,CNG,Manual,81061,27.91
Kia,2011,1951,9.63,CNG,Manual,29790,30.33
Toyota,2013,2018,16.96,CNG,Automatic,120683,9.81
Tata,2005,2017,15.42,Petrol,Manual,165839,5.63
Ford,2010,1046,25.27,Electric,Manual,10327,25.7
Kia,2010,2842,17.03,Electric,Automatic,122898,32.46
Honda,2016,1505,23.06,Petrol,Manual,194397,2.68
Mahindra,2016,2913,21.25,Electric,Automatic,185625,1.98
Maruti,2014,1053,29.46,Petrol,Automatic,112107,7.64
Toyota,2010,1082,28.63,Electric,Manual,126354,24.44
Hyundai,2021,2965,17.41,Diesel,Automatic,68827,33.82
Ford,2023,1222,23.92,CNG,Manual,62225,26.64
Toyota,2022,2821,26.25,Electric,Automatic,194321,20.7
Hyundai,2010,835,27.78,Petrol,Automatic,17644,24.97
Mahindra,2023,1330,9.5,Diesel,Manual,167169,9.23
Mahindra,2014,890,14.65,Electric,Manual,84163,24.57
Mahindra,2012,2740,15.05,Electric,Automatic,97017,12.27
Hyundai,2010,2742,17.56,Petrol,Manual,132240,8.95
Toyota,2011,2040,11.72,Diesel,Manual,167702,9.42
Mahindra,2005,2558,18.92,CNG,Manual,76410,23.87
Tata,2022,897,22.59,Petrol,Automatic,6106,27.2
Kia,2016,2279,18.94,Electric,Manual,117420,20.99
Hyundai,2020,1330,22.65,CNG,Automatic,144491,3.64
Hyundai,2014,2632,9.46,Electric,Automatic,121676,2.77
Toyota,2014,1851,27.27,Petrol,Automatic,61329,8.78
Hyundai,2018,2147,28.66,Diesel,Manual,45908,11.1
Hyundai,2014,879,21.59,CNG,Manual,43787,15.06
Mahindra,2014,2281,27.39,Petrol,Manual,190911,4.05
Toyota,2015,1413,10.89,Petrol,Manual,131887,25.79
Mahindra,2006,2572,25.54,CNG,Manual,157096,25.34
Kia,2012,2280,10.62,Diesel,Manual,95355,13.11
Ford,2011,1222,16.98,Electric,Automatic,112745,20.36
Kia,2012,1923,15.12,CNG,Automatic,27755,4.88
Ford,2005,2834,20.88,Petrol,Manual,191612,15.41
Mahindra,2006,2203,14.63,CNG,Automatic,177646,30.23
Kia,2022,1131,22.02,CNG,Automatic,33356,23.63
Toyota,2019,1452,16.08,Diesel,Automatic,118526,4.98
Maruti,2005,1539,26.94,Diesel,Manual,82260,29.89
Mahindra,2009,1912,21.95,Electric,Automatic,14127,24.3
Ford,2006,2427,12.74,CNG,Automatic,178776,16.68
Tata,2007,1310,15.39,Diesel,Automatic,83205,24.69
Ford,2023,841,26.64,Diesel,Manual,146950,7.29
Tata,2022,1684,16.5,Petrol,Automatic,177553,19.94
Hyundai,2022,2749,19.79,Diesel,Manual,68041,22.2
Kia,2018,2928,22.28,CNG,Manual,105180,32.58
Tata,2012,1201,15.65,CNG,Manual,7205,3.74
Ford,2016,2954,14.47,Petrol,Manual,69767,14.06
Hyundai,2014,1934,18.46,Petrol,Automatic,29401,32.88
Maruti,2021,2037,12.73,Petrol,Automatic,38314,8.78
Toyota,2015,2566,14.25,CNG,Automatic,179585,28.74
Toyota,2006,2641,9.37,CNG,Automatic,130748,1.55
Toyota,2008,1305,14.69,Electric,Automatic,72605,2.37
Tata,2005,1944,15.06,Diesel,Automatic,60362,12.48
Maruti,2019,2641,29.16,Petrol,Automatic,61005,27.24
Tata,2017,1519,20.97,Diesel,Automatic,101867,4.99
Kia,2012,2194,25.32,Diesel,Manual,165591,14.33
Tata,2008,1056,9.0,Electric,Manual,93650,5.9
Maruti,2014,2520,10.34,CNG,Automatic,188159,8.99
Maruti,2023,2621,25.92,Diesel,Manual,37784,18.35
Kia,2022,1753,21.72,Petrol,Manual,7809,12.19
Maruti,2009,1871,12.2,Petrol,Manual,98371,8.6
Ford,2023,2422,16.91,CNG,Automatic,13519,14.68
Maruti,2020,1696,19.85,CNG,Manual,179029,24.99
Toyota,2005,2866,26.56,CNG,Manual,160993,5.5
Ford,2016,1869,9.33,Petrol,Automatic,199799,17.57
Ford,2006,1250,21.13,CNG,Automatic,148535,10.7
Kia,2012,1697,23.77,Electric,Automatic,150720,14.18
Honda,2022,1879,29.51,Electric,Manual,85777,29.02
Honda,2020,1540,25.76,Petrol,Manual,112039,32.65
Maruti,2009,881,14.08,Electric,Automatic,195798,9.64
Ford,2017,1536,23.61,Diesel,Automatic,90370,22.6
Honda,2023,878,24.79,CNG,Automatic,156161,24.17
Honda,2007,2485,24.05,Electric,Automatic,52939,29.72
Maruti,2012,2134,26.04,CNG,Automatic,176547,31.62
Honda,2016,1796,27.88,Electric,Manual,138820,17.18
Tata,2006,2139,10.17,CNG,Automatic,178388,34.42
Hyundai,2015,2802,10.3,Petrol,Manual,100516,34.02
Kia,2016,2491,25.52,Diesel,Automatic,178398,18.47
Hyundai,2022,1979,13.55,CNG,Manual,97965,19.66
Maruti,2017,2537,9.29,Diesel,Manual,78913,23.87
Toyota,2009,1652,16.83,CNG,Automatic,123893,14.02
Kia,2016,1261,26.04,Petrol,Manual,161414,23.68
Maruti,2006,916,10.78,Diesel,Manual,62378,18.73
Ford,2009,2489,22.78,Electric,Automatic,45871,2.69
Toyota,2011,2454,8.08,Diesel,Manual,63989,30.07
Hyundai,2016,2534,10.41,CNG,Manual,45708,33.0
Maruti,2020,2736,15.72,Diesel,Manual,33161,2.38
Ford,2012,1265,9.84,Petrol,Automatic,109169,27.94
Kia,2013,2598,26.61,Diesel,Automatic,153253,14.42
Kia,2019,1459,27.01,Diesel,Manual,159722,21.12
Mahindra,2009,2922,24.62,Diesel,Manual,197521,18.25
Ford,2017,2514,13.33,Electric,Automatic,27736,19.97
Tata,2009,1594,19.51,Diesel,Automatic,80387,18.09
Honda,2015,2386,12.05,CNG,Manual,37805,30.09
Toyota,2014,1386,14.19,CNG,Manual,19429,24.4
Ford,2017,1434,19.35,Diesel,Manual,151664,15.32
Mahindra,2013,2074,24.17,Diesel,Automatic,63230,24.57
Honda,2018,1953,10.08,Electric,Manual,67626,33.83
Honda,2022,1157,14.53,Petrol,Manual,69139,4.19
Maruti,2019,2231,28.39,CNG,Manual,179761,14.5
Honda,2014,2684,17.44,Electric,Automatic,168760,30.66
Tata,2011,2318,28.66,CNG,Manual,106664,26.26
Kia,2012,1421,29.81,CNG,Manual,65007,32.82
Mahindra,2007,1281,19.59,Diesel,Manual,107602,2.83
Honda,2019,1779,14.34,CNG,Automatic,51567,30.4
Maruti,2020,2673,25.4,Petrol,Manual,8475,28.03
Tata,2008,1777,11.5,Petrol,Manual,133990,28.8
Hyundai,2010,2337,13.55,Petrol,Automatic,109864,21.51
Kia,2005,2120,25.27,Electric,Manual,57529,3.24
Kia,2008,2504,17.54,Petrol,Automatic,26425,19.56
Mahindra,2015,2794,12.43,Petrol,Automatic,181902,15.16
Kia,2016,2870,22.32,CNG,Automatic,59152,19.16
Honda,2009,1605,24.12,Electric,Automatic,181745,26.3
Maruti,2020,1634,10.75,Diesel,Automatic,100129,21.46
Kia,2017,1707,14.09,Electric,Automatic,163320,11.3
Kia,2017,1654,12.87,Electric,Manual,20169,21.58
Hyundai,2021,1715,16.36,Diesel,Automatic,74769,4.29
Hyundai,2011,1642,24.8,Diesel,Manual,7462,1.68
Toyota,2012,931,23.7,Diesel,Automatic,24616,14.95
Tata,2017,1916,22.58,CNG,Manual,48627,26.87
Honda,2020,1660,8.14,CNG,Manual,29430,29.06
Kia,2008,1093,11.13,CNG,Automatic,36877,19.92
Ford,2012,1799,12.91,Petrol,Manual,120213,30.58
Kia,2020,2060,13.98,Diesel,Manual,100821,5.72
Maruti,2014,1086,11.22,CNG,Automatic,37014,33.8
Toyota,2016,1249,17.03,CNG,Manual,189544,32.38
Tata,2016,2007,9.65,Electric,Manual,129024,21.57
Ford,2009,2578,24.5,CNG,Automatic,91750,3.47
Toyota,2020,2769,25.33,Diesel,Manual,34392,16.72
Mahindra,2005,1275,20.63,Diesel,Manual,103766,7.51
Tata,2013,1052,9.97,Petrol,Automatic,155419,22.55
Kia,2016,2219,27.58,Petrol,Manual,126071,7.86
Kia,2009,2035,29.24,Electric,Manual,115612,17.64
Tata,2007,1799,12.45,Petrol,Automatic,68935,8.39
Kia,2009,820,23.5,Diesel,Manual,80706,7.59
Honda,2006,1115,26.52,Petrol,Automatic,83271,9.81
Tata,2018,2261,19.88,Petrol,Automatic,37348,2.48
Toyota,2006,2246,15.11,CNG,Manual,31539,25.49
Tata,2017,2056,18.53,Diesel,Manual,17542,11.78
Ford,2011,2970,19.27,Electric,Automatic,103606,24.89
Kia,2014,1759,16.81,Petrol,Automatic,158339,23.39
Honda,2017,2745,28.46,Petrol,Automatic,136848,3.71
Honda,2020,1638,24.37,Electric,Automatic,180291,11.95
Mahindra,2018,1767,13.31,Electric,Manual,136695,20.49
Toyota,2015,2653,20.88,Diesel,Automatic,198565,32.27
Hyundai,2014,1399,23.15,Electric,Manual,24770,14.94
Hyundai,2010,1591,11.08,Petrol,Manual,110334,18.41
Tata,2008,839,15.89,Diesel,Manual,19723,26.63
Mahindra,2005,1447,27.92,Diesel,Manual,173615,28.41
Maruti,2011,981,20.48,Electric,Manual,36327,32.43
Tata,2013,1064,12.77,Diesel,Manual,197646,18.16
Mahindra,2012,1662,10.7,Petrol,Manual,169901,7.99
Toyota,2009,1231,19.4,Petrol,Manual,38055,27.11
Toyota,2023,2019,20.05,Petrol,Automatic,34764,5.71
Toyota,2014,1308,15.36,Diesel,Manual,118385,15.51
Toyota,2015,1246,21.87,Electric,Manual,57791,22.55
Toyota,2019,1327,9.51,Petrol,Manual,45723,24.68
Mahindra,2010,2553,11.19,CNG,Automatic,158791,26.06
Mahindra,2019,2428,20.02,Electric,Manual,104447,7.98
Honda,2009,1962,9.36,Diesel,Manual,20882,34.39
Ford,2023,1468,27.38,Petrol,Manual,83732,7.48
Hyundai,2023,1646,11.13,Diesel,Manual,188309,4.72
Kia,2014,2917,22.83,Petrol,Automatic,32092,23.75
Toyota,2016,2570,16.61,Diesel,Automatic,121889,31.98
Maruti,2008,2625,16.8,CNG,Manual,26673,20.24
Kia,2022,1245,24.83,Diesel,Manual,134980,21.45
Mahindra,2020,1825,18.99,Diesel,Automatic,177710,19.54
Maruti,2012,2571,23.96,Diesel,Automatic,155913,2.93
Maruti,2008,2159,19.11,Petrol,Automatic,40512,24.32
Maruti,2016,818,21.04,Electric,Automatic,23737,13.5
Honda,2006,2817,24.74,Diesel,Automatic,37061,32.85
Mahindra,2008,1360,21.36,Electric,Automatic,150761,7.76
Maruti,2009,1271,21.54,Petrol,Manual,173842,11.62
Toyota,2007,827,25.36,Diesel,Manual,8966,18.41
Tata,2013,1359,28.88,Petrol,Automatic,133702,17.49
Maruti,2022,1257,16.29,Electric,Automatic,102053,14.91
Honda,2015,1744,20.7,Petrol,Automatic,187965,12.03
Kia,2007,1999,9.9,Petrol,Manual,51534,6.43
Mahindra,2006,1783,15.89,Electric,Automatic,199202,29.0
Ford,2013,1667,17.07,Petrol,Manual,112088,16.53
Honda,2018,2876,26.38,Electric,Manual,24790,20.69
Maruti,2008,2779,19.29,Electric,Automatic,57104,19.81
Mahindra,2013,1625,24.08,Diesel,Automatic,119507,20.78
Tata,2017,1615,8.42,Diesel,Manual,190287,25.11
Maruti,2022,1802,18.22,Petrol,Manual,96131,22.58
Honda,2019,2342,27.83,Petrol,Manual,18185,10.68
Hyundai,2014,908,12.93,Petrol,Automatic,15806,20.05
Toyota,2020,2029,8.69,CNG,Automatic,154327,9.69
Ford,2016,2761,17.53,CNG,Automatic,128970,21.23
Kia,2009,2763,23.5,Diesel,Manual,22010,15.97
Honda,2006,1721,18.0,Electric,Automatic,9766,2.82
Mahindra,2014,2230,18.12,CNG,Automatic,13217,26.09
Ford,2005,2332,22.74,CNG,Automatic,171888,10.7
Ford,2011,2692,13.6,Electric,Manual,46581,32.33
Ford,2021,2221,24.54,Petrol,Automatic,116681,10.9
Maruti,2020,2022,11.37,Petrol,Automatic,98597,34.89
Toyota,2007,1190,16.71,CNG,Automatic,56812,17.01
Maruti,2018,2472,22.43,CNG,Automatic,78203,2.38
Mahindra,2014,2669,26.22,Electric,Automatic,186965,4.06
Maruti,2011,2321,25.41,Electric,Manual,122760,4.25
Hyundai,2021,1995,23.88,CNG,Manual,45671,3.38
Toyota,2010,2933,15.9,Electric,Manual,110029,10.47
Toyota,2008,1657,10.69,Petrol,Manual,25117,12.37
Mahindra,2021,2009,12.77,Diesel,Manual,36178,5.23
Kia,2013,2316,27.03,CNG,Automatic,75000,16.18
Hyundai,2008,2450,26.86,Diesel,Manual,65118,13.74
Honda,2011,1953,28.93,Electric,Manual,137917,22.82
Maruti,2006,1642,9.67,Diesel,Automatic,82965,8.06
Tata,2021,1904,19.81,CNG,Manual,160091,32.12
Maruti,2012,2625,22.27,Electric,Manual,106062,18.79
Ford,2019,2482,23.63,Diesel,Manual,61729,22.4
Maruti,2019,1094,22.16,Petrol,Manual,192541,2.82
Honda,2012,2801,24.94,CNG,Automatic,155334,20.23
Maruti,2020,1444,15.91,CNG,Automatic,139476,13.83
Hyundai,2023,2935,11.95,CNG,Manual,54534,32.46
Hyundai,2015,1724,12.5,CNG,Manual,59162,31.17
Toyota,2006,2447,8.26,Electric,Automatic,184550,22.86
Mahindra,2021,910,15.71,Petrol,Manual,47249,27.22
Kia,2020,1383,10.02,Petrol,Automatic,97964,23.09
Tata,2019,2286,15.07,Diesel,Automatic,141140,2.07
Ford,2017,1568,21.82,CNG,Manual,182808,25.05
Maruti,2019,1979,27.68,CNG,Manual,146301,7.43
Maruti,2008,2448,26.47,Diesel,Manual,82444,24.37
Honda,2020,905,13.56,Electric,Manual,179484,1.85
Mahindra,2016,2522,10.95,Petrol,Manual,95997,11.92
Hyundai,2008,2494,12.25,CNG,Manual,49454,18.82
Tata,2007,2533,29.36,Diesel,Manual,123670,12.66
Toyota,2021,1181,20.09,Petrol,Manual,41942,24.75
Hyundai,2022,1060,12.02,Diesel,Manual,95420,19.01
Ford,2022,2622,26.5,Diesel,Manual,63070,33.65
Mahindra,2021,2116,16.69,Electric,Automatic,73640,13.49
Ford,2016,2158,27.78,Petrol,Manual,155393,25.68
Kia,2008,1619,13.73,CNG,Manual,19017,29.5
Toyota,2016,1508,16.65,Petrol,Automatic,47673,10.0
Kia,2019,1706,19.11,Electric,Automatic,119118,26.76
Honda,2020,1462,27.64,CNG,Manual,55587,14.68
Ford,2009,2119,27.11,Petrol,Automatic,140637,5.81
Honda,2019,1262,20.64,Electric,Manual,83761,1.62
Maruti,2021,1384,12.88,CNG,Automatic,160393,26.42
Kia,2022,1742,16.87,CNG,Automatic,64541,7.74
Mahindra,2009,957,29.46,Diesel,Automatic,56352,3.21
Ford,2017,2650,21.37,Diesel,Manual,35623,18.16
Tata,2023,2126,25.18,Electric,Automatic,163699,13.11
Toyota,2017,2906,17.9,CNG,Automatic,55822,24.68
Hyundai,2022,2181,19.7,Petrol,Automatic,181701,5.1
Mahindra,2018,1503,17.44,CNG,Automatic,90284,5.94
Mahindra,2008,1447,23.46,Electric,Automatic,46184,15.04
Honda,2008,945,26.73,Petrol,Automatic,136918,18.93
Kia,2023,2175,19.16,CNG,Manual,168464,29.11
Ford,2017,2623,18.58,Petrol,Manual,69801,21.12
Ford,2016,1044,15.49,Diesel,Manual,118515,31.74
Maruti,2011,2383,11.9,Petrol,Automatic,190659,8.8
Maruti,2016,1667,28.66,Diesel,Automatic,107373,21.47
Toyota,2008,2947,14.95,Petrol,Automatic,122644,23.45
Honda,2006,1279,25.62,Diesel,Manual,58539,25.81
Mahindra,2006,2735,23.74,Electric,Automatic,29031,34.62
Ford,2009,2765,25.4,Petrol,Automatic,97373,17.18
Tata,2014,2461,28.61,CNG,Automatic,142983,13.87
Honda,2014,887,21.71,Electric,Automatic,178615,30.05
Toyota,2013,2040,27.75,Electric,Automatic,126436,7.42
Toyota,2017,1372,11.69,Petrol,Automatic,127373,2.74
Honda,2011,1613,21.79,Electric,Manual,99084,16.36
Toyota,2009,978,24.99,Diesel,Manual,55368,9.78
Honda,2014,2525,13.98,Diesel,Manual,125241,14.78
Hyundai,2014,962,24.3,Petrol,Automatic,159697,34.53
Honda,2010,1805,25.13,Electric,Manual,83448,13.17
Kia,2023,1002,26.29,CNG,Automatic,122399,25.22
Honda,2012,846,14.88,Petrol,Automatic,80014,9.89
Toyota,2005,1262,23.0,Petrol,Manual,65501,11.66
Ford,2021,1207,14.69,Electric,Automatic,168897,9.65
Kia,2011,2017,24.26,Diesel,Manual,196904,20.67
Toyota,2018,1729,18.19,Electric,Manual,6304,9.07
Maruti,2021,1116,21.15,CNG,Manual,55782,25.57
Maruti,2013,2302,17.15,CNG,Automatic,58232,24.29
Ford,2021,1220,11.56,CNG,Automatic,91223,15.61
Ford,2009,2092,11.92,CNG,Automatic,142075,2.36
Kia,2012,2534,9.71,Petrol,Manual,129046,2.26
Hyundai,2010,2559,21.6,CNG,Manual,152868,19.35
Ford,2015,1062,26.67,CNG,Manual,55770,29.61
Maruti,2023,2249,8.46,CNG,Automatic,75672,21.56
Honda,2008,2515,9.46,Electric,Automatic,7777,16.09
Toyota,2022,1227,18.06,Diesel,Automatic,190123,31.05
Maruti,2005,1196,24.23,Diesel,Automatic,99626,8.1
Maruti,2017,2039,11.47,Diesel,Manual,120606,13.54
Hyundai,2018,1595,13.98,CNG,Automatic,162896,20.44
Kia,2005,906,13.1,Electric,Automatic,45353,11.27
Kia,2015,897,16.78,Petrol,Manual,182593,34.92
Mahindra,2021,2703,12.95,Electric,Automatic,33658,16.65
Hyundai,2008,2080,15.76,Petrol,Automatic,76157,3.23
Honda,2016,842,24.03,Electric,Manual,167897,7.4
Kia,2014,2377,21.44,Diesel,Automatic,160263,19.34
Toyota,2010,894,9.79,Diesel,Manual,148439,19.93
Ford,2005,2769,22.03,CNG,Automatic,6503,34.47
Hyundai,2011,2589,18.5,Diesel,Manual,57379,21.6
Ford,2020,987,28.56,Diesel,Automatic,5827,23.83
Maruti,2018,1184,14.36,Diesel,Manual,24615,8.66
Toyota,2010,1618,23.98,Electric,Automatic,57025,5.08
Toyota,2009,1948,24.08,Diesel,Automatic,145881,21.67
Maruti,2022,2496,12.87,Petrol,Manual,83891,30.47
Hyundai,2019,2934,27.87,CNG,Manual,129065,21.18
Maruti,2010,1025,18.81,Electric,Manual,92772,16.33
Ford,2023,2480,22.94,Petrol,Automatic,150019,20.87
Mahindra,2005,2697,11.21,Electric,Manual,10632,17.2
Toyota,2005,1317,13.67,Diesel,Automatic,13886,6.25
Tata,2017,2532,20.89,Electric,Manual,25400,26.33
Tata,2007,1095,15.02,Electric,Automatic,165864,19.36
Ford,2014,1213,18.99,CNG,Automatic,121756,14.88
Honda,2007,2660,16.23,Electric,Manual,100586,20.25
Kia,2013,2795,22.09,Electric,Automatic,68414,9.58
Maruti,2012,2982,18.72,CNG,Manual,27008,15.84
Maruti,2007,2828,8.1,Electric,Manual,141595,22.35
Honda,2017,803,22.29,Electric,Manual,145510,9.08
Honda,2010,977,17.29,Petrol,Automatic,134012,26.59
Ford,2017,1545,15.52,Petrol,Automatic,155063,18.95
Ford,2016,1058,10.07,Electric,Automatic,53159,30.37
Honda,2017,1451,12.85,Electric,Automatic,168831,29.88
Toyota,2006,2618,12.92,Diesel,Manual,198000,18.07
Ford,2020,2186,28.58,Petrol,Automatic,70823,8.05
Mahindra,2010,2096,17.52,Diesel,Manual,20796,26.18
Ford,2023,1089,8.93,Electric,Automatic,121091,15.53
Maruti,2017,1602,11.05,Diesel,Automatic,75068,21.42
Ford,2021,2821,9.74,Diesel,Automatic,48137,5.09
Toyota,2013,1033,20.96,CNG,Automatic,38208,22.66
Honda,2021,1207,12.11,CNG,Manual,26996,14.01
Maruti,2006,1493,18.97,Electric,Automatic,140957,12.7
Ford,2023,1969,16.14,Petrol,Manual,104572,34.33
Toyota,2023,1361,25.69,Electric,Manual,126907,15.99
Mahindra,2011,1231,15.05,Petrol,Automatic,11864,24.21
Ford,2014,2368,18.08,CNG,Automatic,192231,22.53
Toyota,2014,1782,23.87,Petrol,Manual,150637,4.99
Mahindra,2013,2234,17.53,Diesel,Automatic,70721,26.56
Honda,2021,1696,25.45,Diesel,Automatic,91177,12.33
Ford,2019,1577,22.56,CNG,Manual,152420,28.26
Mahindra,2006,1022,17.03,Electric,Automatic,113944,21.86
Maruti,2008,2571,19.09,Petrol,Automatic,41311,12.12
Honda,2023,2488,29.28,Electric,Automatic,112975,13.44
Maruti,2021,1267,22.56,Petrol,Manual,173726,26.01
Tata,2009,2145,27.91,CNG,Manual,107944,19.93
Hyundai,2011,1211,11.93,Diesel,Manual,130340,23.89
Ford,2022,1425,18.63,Diesel,Automatic,32154,6.8
Mahindra,2011,2075,27.99,Petrol,Automatic,104448,27.86
Hyundai,2021,1811,15.1,Electric,Manual,156620,12.23
Hyundai,2011,2477,29.29,CNG,Automatic,167084,22.27
Mahindra,2008,1601,10.14,CNG,Manual,199262,5.34
Honda,2012,2692,27.86,Electric,Manual,71170,12.27
Ford,2017,2360,17.79,Diesel,Automatic,143649,23.24
Tata,2008,2191,9.62,Electric,Manual,153759,10.69
Maruti,2010,1054,27.35,Diesel,Automatic,116157,30.99
Toyota,2009,2286,13.54,Petrol,Automatic,64225,23.65
Maruti,2016,2973,8.49,CNG,Automatic,155153,30.65
Toyota,2008,2216,10.99,Petrol,Manual,116145,14.75
Maruti,2013,1561,22.5,Electric,Automatic,166692,2.64
Mahindra,2008,2157,29.51,Electric,Automatic,40573,20.8
Tata,2023,1364,10.45,Petrol,Automatic,94506,12.86
Ford,2018,2191,18.16,Electric,Automatic,52131,16.51
Toyota,2009,2378,11.97,Electric,Manual,128449,24.32
Ford,2022,1890,24.39,Electric,Manual,110086,24.97
Ford,2014,2418,10.6,CNG,Automatic,99635,2.42
Ford,2023,1199,13.28,CNG,Automatic,161627,27.27
Kia,2016,1086,12.32,Diesel,Manual,108516,18.03
Honda,2022,2339,20.16,CNG,Automatic,9130,20.15
Maruti,2021,1036,27.21,Petrol,Automatic,160398,11.48
Ford,2015,1614,19.24,Petrol,Manual,57693,15.6
Maruti,2007,1727,9.28,CNG,Manual,179605,25.3
Ford,2021,1213,20.39,Petrol,Automatic,8386,27.52
Toyota,2005,2755,25.55,Electric,Manual,131435,14.47
Honda,2019,2856,10.91,CNG,Manual,179909,24.65
Honda,2013,1219,9.6,Diesel,Automatic,47697,10.14
Mahindra,2019,828,12.13,Diesel,Automatic,31999,29.37
Kia,2007,1460,24.41,CNG,Manual,21149,21.93
Mahindra,2023,1249,21.02,Petrol,Automatic,196119,27.47
Mahindra,2017,1179,19.89,CNG,Automatic,102122,17.48
Mahindra,2016,2050,13.49,CNG,Manual,83830,9.18
Mahindra,2005,1155,15.31,Diesel,Automatic,15727,15.88
